id,RAWBA,BAA,total_pa,seasons
2090,0.255,0.2597052498097108,411,1
2136,0.27792904290429044,0.26874682332840527,4242,10
2140,0.27,0.2777122427716941,180,1
2151,0.25285745140388766,0.23947559386648212,3241,6
2154,0.21518959537572255,0.24463815200590072,865,2
2197,0.253,0.24808542022859786,296,1
2218,0.2556258205689278,0.22843067539126982,457,2
2225,0.24,0.2639993471965483,212,1
2234,0.2560269461077844,0.24778746465614185,668,2
2264,0.181,0.2459912061782933,134,1
2396,0.23873783020435285,0.24608487254922914,6019,10
2430,0.2489491017964072,0.25671204491097666,668,2
2434,0.2786168430335097,0.24899308883559684,4536,9
2495,0.23722032193158954,0.23025254634851625,994,3
2502,0.22895302407516147,0.22753131065563073,1703,5
2505,0.21589890710382514,0.2059897679319835,366,2
2530,0.252415820642978,0.2584566526620247,2364,5
2539,0.152,0.2153259121139772,111,1
2554,0.216,0.202915588118775,102,1
2578,0.22984217016029593,0.2314817650986528,811,3
2579,0.22973065902578796,0.2519863393927818,698,3
2616,0.25329263687854,0.24762423544719467,1589,5
2636,0.2490227471566054,0.2550228214444131,1143,4
2714,0.215,0.2157929805573481,152,1
2802,0.204,0.2194364791058176,151,1
2829,0.24488365650969535,0.24129726209132774,1083,4
2830,0.232,0.24331554823598828,265,1
2832,0.26,0.2391827902729207,131,1
2900,0.20230856423173801,0.215782607809636,1588,7
2918,0.269445155393053,0.26583693036531664,1094,2
2967,0.2578272789581905,0.26039392620878865,4377,10
3035,0.231,0.2592204407831384,256,1
